Name,Color,Rarity,# Seen,ALSA,# Picked,ATA,# GP,GP WR,# OH,OH WR,# GD,GD WR,# GIH,GIH WR,# GND,GND WR,IWD
Earth-Cult Elemental,R,C,67464,6.45,11637,8.85,31430,56.40%,5742,57.10%,9774,56.30%,15516,56.60%,17235,56.10%,0.6pp
,,,,,,,,,,,,,,,,,
Farideh's Fireball,R,C,51035,4.63,10351,6.16,40243,55.60%,7545,52.90%,12036,55.80%,19581,54.70%,22191,56.10%,-1.4pp
,,,,,,,,,,,,,,,,,
Flameskull,R,M,1174,1.69,853,1.67,4725,57.10%,832,58.80%,1181,59.00%,2013,58.90%,2758,55.60%,3.3pp
,,,,,,,,,,,,,,,,,
Goblin Javelineer,R,C,68805,6.99,9300,9.99,15915,53.90%,3642,55.30%,4477,50.60%,8119,52.70%,8536,55.00%,-2.3pp
,,,,,,,,,,,,,,,,,
Goblin Morningstar,R,U,13850,3.35,5288,3.81,26160,56.60%,5317,57.90%,6924,56.80%,12241,57.30%,14490,55.90%,1.4pp
,,,,,,,,,,,,,,,,,
Hoarding Ogre,R,C,50196,4.45,12082,5.73,49907,56.10%,10745,56.60%,16196,55.10%,26941,55.70%,26092,56.20%,-0.5pp
,,,,,,,,,,,,,,,,,
Hobgoblin Bandit Lord,R,R,3480,2.6,1576,2.68,7391,55.70%,1253,54.80%,1872,53.90%,3125,54.30%,4372,56.60%,-2.4pp
,,,,,,,,,,,,,,,,,
Hobgoblin Captain,R,C,43222,3.82,15912,4.48,60410,56.80%,16308,58.90%,21504,55.50%,37812,56.90%,29043,56.60%,0.3pp
,,,,,,,,,,,,,,,,,
Hulking Bugbear,R,U,14894,3.61,4586,4.34,21840,55.30%,4312,56.30%,5868,53.60%,10180,54.80%,12262,55.70%,-0.9pp
,,,,,,,,,,,,,,,,,
Improvised Weaponry,R,C,50822,4.48,13018,5.65,51983,56.20%,11656,56.80%,15705,56.00%,27361,56.30%,27214,56.00%,0.3pp
,,,,,,,,,,,,,,,,,
Inferno of the Star Mounts,R,M,893,1.23,760,1.23,4344,57.60%,687,63.50%,1108,63.80%,1795,63.70%,2587,53.30%,10.4pp
,,,,,,,,,,,,,,,,,
Jaded Sell-Sword,R,C,68839,6.56,10628,9.2,24295,55.30%,4703,54.50%,7271,53.60%,11974,54.00%,13385,56.20%,-2.2pp
