Name,Color,Rarity,# Seen,ALSA,# Picked,ATA,# GP,GP WR,# OH,OH WR,# GD,GD WR,# GIH,GIH WR,# GND,GND WR,IWD
Falkenrath Perforator,R,C,55001,6.05,7252,8.53,17746,54.20%,4730,54.90%,6105,51.80%,10835,53.20%,8673,55.10%,-1.9pp
,,,,,,,,,,,,,,,,,
Falkenrath Pit Fighter,R,R,3270,2.81,871,3.18,3172,53.90%,604,56.00%,737,51.70%,1341,53.60%,1869,53.90%,-0.3pp
,,,,,,,,,,,,,,,,,
Famished Foragers,R,C,55537,6.1,7154,8.7,17466,54.00%,3707,54.10%,5721,54.90%,9428,54.60%,9272,53.30%,1.3pp
,,,,,,,,,,,,,,,,,
Fangblade Brigand,R,U,10596,3.16,2743,3.74,11756,53.80%,2224,54.80%,3420,53.60%,5644,54.00%,6614,53.70%,0.4pp
,,,,,,,,,,,,,,,,,
Festival Crasher,R,C,59065,6.95,7403,9.72,12948,53.00%,3468,54.00%,5293,52.40%,8761,53.00%,5846,52.50%,0.5pp
,,,,,,,,,,,,,,,,,
Flame Channeler,R,U,13829,4.09,2923,5.26,9978,53.20%,2071,55.10%,2989,52.40%,5060,53.50%,5346,53.00%,0.6pp
,,,,,,,,,,,,,,,,,
Geistflame Reservoir,R,R,3250,2.99,916,3.37,2897,50.80%,499,49.70%,834,54.00%,1333,52.40%,1587,49.70%,2.7pp
,,,,,,,,,,,,,,,,,
Harvesttide Infiltrator,R,C,52856,5.6,6188,8.25,16344,52.40%,3762,50.10%,5422,51.70%,9184,51.10%,8437,53.10%,-2.1pp
,,,,,,,,,,,,,,,,,
Immolation,R,C,54778,5.99,7920,8.27,18407,53.30%,4050,53.20%,5611,52.50%,9661,52.80%,9717,53.70%,-1.0pp
,,,,,,,,,,,,,,,,,
Lambholt Harrier,R,C,57182,6.36,7392,9.02,17961,53.20%,4238,53.20%,5601,51.70%,9839,52.30%,9242,53.80%,-1.5pp
,,,,,,,,,,,,,,,,,
Light Up the Night,R,R,1958,1.77,1099,1.8,5227,54.20%,860,53.60%,1623,59.80%,2483,57.60%,2991,51.60%,6.0pp
,,,,,,,,,,,,,,,,,
Lunar Frenzy,R,U,13893,3.89,3073,4.83,12389,53.80%,2266,52.00%,3579,56.70%,5845,54.90%,6981,53.20%,1.7pp
,,,,,,,,,,,,,,,,,
Moonrager's Slash,R,C,32756,3.29,9615,3.92,32161,53.90%,8405,52.60%,14488,56.20%,22893,54.90%,14953,52.90%,1.9pp
,,,,,,,,,,,,,,,,,
Moonveil Regent,R,M,738,1.25,567,1.21,2768,56.40%,503,61.60%,790,60.00%,1293,60.60%,1552,52.90%,7.7pp
,,,,,,,,,,,,,,,,,
Mounted Dreadknight,R,C,57241,6.45,6207,9.56,13158,52.90%,2393,52.40%,4069,51.40%,6462,51.80%,7261,53.60%,-1.9pp
,,,,,,,,,,,,,,,,,
Neonate's Rush,R,C,60902,7.23,7616,10.3,11970,54.80%,2523,57.40%,3983,55.70%,6506,56.30%,6356,53.60%,2.7pp
,,,,,,,,,,,,,,,,,
